timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1741322815773,929,HTTP Request,200,OK,Thread Group 1-1,text,true,,122123,175,1,1,https://www.amazon.in/,489,0,99
1741322816702,1139,HTTP Request,200,OK,Thread Group 1-1,text,true,,121591,175,1,1,https://www.amazon.in/,356,0,0
1741322817842,929,HTTP Request,200,OK,Thread Group 1-1,text,true,,124391,175,1,1,https://www.amazon.in/,379,0,0
1741322818771,928,HTTP Request,200,OK,Thread Group 1-1,text,true,,119479,175,1,1,https://www.amazon.in/,376,0,0
1741322819699,858,HTTP Request,200,OK,Thread Group 1-1,text,true,,120343,175,2,2,https://www.amazon.in/,480,0,0
1741322819773,825,HTTP Request,200,OK,Thread Group 1-2,text,true,,127340,175,2,2,https://www.amazon.in/,423,0,32
1741322820557,914,HTTP Request,200,OK,Thread Group 1-1,text,true,,119622,175,2,2,https://www.amazon.in/,342,0,0
1741322820598,905,HTTP Request,200,OK,Thread Group 1-2,text,true,,116364,175,2,2,https://www.amazon.in/,318,0,0
1741322821504,904,HTTP Request,200,OK,Thread Group 1-2,text,true,,122867,175,2,2,https://www.amazon.in/,324,0,0
1741322821472,944,HTTP Request,200,OK,Thread Group 1-1,text,true,,118031,175,2,2,https://www.amazon.in/,359,0,0
1741322822417,942,HTTP Request,200,OK,Thread Group 1-1,text,true,,118961,175,2,2,https://www.amazon.in/,360,0,0
1741322822409,951,HTTP Request,200,OK,Thread Group 1-2,text,true,,124137,175,2,2,https://www.amazon.in/,346,0,0
1741322823360,899,HTTP Request,200,OK,Thread Group 1-1,text,true,,110042,175,3,3,https://www.amazon.in/,327,0,0
1741322823360,919,HTTP Request,200,OK,Thread Group 1-2,text,true,,123771,175,3,3,https://www.amazon.in/,330,0,0
1741322823774,956,HTTP Request,200,OK,Thread Group 1-3,text,true,,114288,175,3,3,https://www.amazon.in/,421,0,26
1741322824279,920,HTTP Request,200,OK,Thread Group 1-2,text,true,,125588,175,3,3,https://www.amazon.in/,334,0,0
1741322824260,997,HTTP Request,200,OK,Thread Group 1-1,text,true,,119616,175,3,3,https://www.amazon.in/,348,0,0
1741322824730,972,HTTP Request,200,OK,Thread Group 1-3,text,true,,118181,175,2,2,https://www.amazon.in/,427,0,0
1741322825200,902,HTTP Request,200,OK,Thread Group 1-2,text,true,,124647,175,2,2,https://www.amazon.in/,440,0,0
1741322825702,823,HTTP Request,200,OK,Thread Group 1-3,text,true,,115911,175,2,2,https://www.amazon.in/,373,0,0
1741322826102,866,HTTP Request,200,OK,Thread Group 1-2,text,true,,120234,175,2,2,https://www.amazon.in/,325,0,0
1741322826526,928,HTTP Request,200,OK,Thread Group 1-3,text,true,,117543,175,2,2,https://www.amazon.in/,352,0,0
1741322826968,853,HTTP Request,200,OK,Thread Group 1-2,text,true,,117268,175,3,3,https://www.amazon.in/,325,0,0
1741322827454,837,HTTP Request,200,OK,Thread Group 1-3,text,true,,111852,175,3,3,https://www.amazon.in/,357,0,0
1741322827821,833,HTTP Request,200,OK,Thread Group 1-2,text,true,,119501,175,3,3,https://www.amazon.in/,399,0,0
1741322827770,938,HTTP Request,200,OK,Thread Group 1-4,text,true,,114632,175,2,2,https://www.amazon.in/,445,0,92
1741322828292,829,HTTP Request,200,OK,Thread Group 1-3,text,true,,116224,175,2,2,https://www.amazon.in/,337,0,0
1741322828709,906,HTTP Request,200,OK,Thread Group 1-4,text,true,,115926,175,2,2,https://www.amazon.in/,341,0,0
1741322829121,898,HTTP Request,200,OK,Thread Group 1-3,text,true,,123362,175,2,2,https://www.amazon.in/,451,0,0
1741322829616,812,HTTP Request,200,OK,Thread Group 1-4,text,true,,116184,175,2,2,https://www.amazon.in/,396,0,0
1741322830020,977,HTTP Request,200,OK,Thread Group 1-3,text,true,,124963,175,2,2,https://www.amazon.in/,319,0,0
1741322830429,768,HTTP Request,200,OK,Thread Group 1-4,text,true,,119379,175,2,2,https://www.amazon.in/,367,0,0
1741322830998,838,HTTP Request,200,OK,Thread Group 1-3,text,true,,118904,175,3,3,https://www.amazon.in/,413,0,0
1741322831198,888,HTTP Request,200,OK,Thread Group 1-4,text,true,,118374,175,3,3,https://www.amazon.in/,372,0,0
1741322831772,937,HTTP Request,200,OK,Thread Group 1-5,text,true,,114659,175,3,3,https://www.amazon.in/,381,0,72
1741322831837,886,HTTP Request,200,OK,Thread Group 1-3,text,true,,119513,175,3,3,https://www.amazon.in/,307,0,0
1741322832088,930,HTTP Request,200,OK,Thread Group 1-4,text,true,,118261,175,2,2,https://www.amazon.in/,334,0,0
1741322832710,822,HTTP Request,200,OK,Thread Group 1-5,text,true,,120993,175,2,2,https://www.amazon.in/,320,0,0
1741322833019,922,HTTP Request,200,OK,Thread Group 1-4,text,true,,127810,175,2,2,https://www.amazon.in/,353,0,0
1741322833533,866,HTTP Request,200,OK,Thread Group 1-5,text,true,,120335,175,2,2,https://www.amazon.in/,409,0,0
1741322833942,1116,HTTP Request,200,OK,Thread Group 1-4,text,true,,108448,175,2,2,https://www.amazon.in/,324,0,0
