timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1741194571293,746,HTTP Request,503,Service Unavailable,Thread Group 1-1,text,false,,2758,115,1,1,https://www.amazon.in/,746,0,329
1741194572039,1222,HTTP Request,200,OK,Thread Group 1-1,text,true,,50476,115,1,1,https://www.amazon.in/,555,0,0
1741194573262,830,HTTP Request,200,OK,Thread Group 1-1,text,true,,49923,115,1,1,https://www.amazon.in/,436,0,0
1741194574092,1055,HTTP Request,503,Service Unavailable,Thread Group 1-1,text,false,,2757,115,1,1,https://www.amazon.in/,1055,0,0
1741194575148,318,HTTP Request,503,Service Unavailable,Thread Group 1-1,text,false,,2758,115,2,2,https://www.amazon.in/,318,0,0
1741194575467,822,HTTP Request,503,Service Unavailable,Thread Group 1-1,text,false,,2759,115,2,2,https://www.amazon.in/,822,0,0
1741194575290,1515,HTTP Request,200,OK,Thread Group 1-2,text,true,,50444,115,2,2,https://www.amazon.in/,997,0,562
1741194576290,1251,HTTP Request,200,OK,Thread Group 1-1,text,true,,52844,115,2,2,https://www.amazon.in/,786,0,0
1741194576805,1077,HTTP Request,200,OK,Thread Group 1-2,text,true,,50471,115,2,2,https://www.amazon.in/,894,0,0
1741194577883,349,HTTP Request,503,Service Unavailable,Thread Group 1-2,text,false,,2757,115,2,2,https://www.amazon.in/,349,0,0
1741194577541,832,HTTP Request,200,OK,Thread Group 1-1,text,true,,52436,115,2,2,https://www.amazon.in/,417,0,0
1741194578233,250,HTTP Request,503,Service Unavailable,Thread Group 1-2,text,false,,2756,115,2,2,https://www.amazon.in/,250,0,0
1741194578484,927,HTTP Request,200,OK,Thread Group 1-2,text,true,,49782,115,3,3,https://www.amazon.in/,591,0,0
1741194579411,244,HTTP Request,503,Service Unavailable,Thread Group 1-2,text,false,,2755,115,3,3,https://www.amazon.in/,242,0,0
1741194579290,616,HTTP Request,503,Service Unavailable,Thread Group 1-3,text,false,,2756,115,3,3,https://www.amazon.in/,616,0,229
1741194579906,352,HTTP Request,503,Service Unavailable,Thread Group 1-3,text,false,,2756,115,3,3,https://www.amazon.in/,351,0,0
1741194578374,1931,HTTP Request,200,OK,Thread Group 1-1,text,true,,49918,115,3,3,https://www.amazon.in/,415,0,0
1741194579656,693,HTTP Request,200,OK,Thread Group 1-2,text,true,,49846,115,3,3,https://www.amazon.in/,396,0,0
1741194580306,340,HTTP Request,503,Service Unavailable,Thread Group 1-1,text,false,,2757,115,3,3,https://www.amazon.in/,340,0,0
1741194580258,1481,HTTP Request,200,OK,Thread Group 1-3,text,true,,52547,115,2,2,https://www.amazon.in/,461,0,0
